M0:d (Vgs=0.00e+00) X,M0:d (Vgs=0.00e+00) Y
0.02555999999999995,4.142436155793974e-12
0.02573999999999995,4.16279546922527e-12
0.02591999999999995,4.183255000810637e-12
0.02609999999999995,4.203815243235387e-12
0.02627999999999995,4.224476691601497e-12
0.02645999999999995,4.245239843440605e-12
0.02663999999999995,4.26610519872492e-12
0.02681999999999995,4.287073259880383e-12
0.02699999999999995,4.308144531797613e-12
0.02717999999999995,4.329319521844582e-12
0.02735999999999995,4.350598739878347e-12
0.02753999999999995,4.371982698257778e-12
0.02771999999999995,4.393471911854489e-12
0.02789999999999995,4.415066898066936e-12
0.02807999999999995,4.436768176831508e-12
0.02825999999999995,4.458576270635438e-12
0.02843999999999995,4.480491704528936e-12
0.02861999999999995,4.502515006138281e-12
0.02879999999999995,4.524646705677713e-12
0.02897999999999995,4.546887335963009e-12
