"(pv("M0" "gm" ?result "dcOpInfo-info") / IDC("/M0/D")) vs M0:d (Vgs=1.64e-01) X","(pv("M0" "gm" ?result "dcOpInfo-info") / IDC("/M0/D")) vs M0:d (Vgs=1.64e-01) Y"
"3.132711057094351e-12","27.22063086512321"
"3.148099196936188e-12","27.22105001041693"
"3.163563109914981e-12","27.22146915571065"
"3.179103168728487e-12","27.22188830100437"
"3.19471974790424e-12","27.22230744629809"
"3.210413223809127e-12","27.2227265915918"
"3.22618397465749e-12","27.22314573688552"
"3.242032380521611e-12","27.22356488217924"
"3.257958823339381e-12","27.22398402747296"
"3.273963686923983e-12","27.22440317276668"
"3.290047356973092e-12","27.22482231806039"
"3.306210221078639e-12","27.22524146335411"
"3.322452668734931e-12","27.22566060864783"
"3.338775091348845e-12","27.22607975394155"
"3.355177882249142e-12","27.22649889923527"
"3.371661436695606e-12","27.22691804452899"
"3.388226151887905e-12","27.22733718982271"
"3.40487242697707e-12","27.22753376639292"
"3.421600663072466e-12","27.22772806955939"
"3.438411263253089e-12","27.22792237272587"
"3.455304632577466e-12","27.22811667589235"
"3.472281178091906e-12","27.22831097905883"
"3.489341308841056e-12","27.22850528222531"
"3.506485435877692e-12","27.22869958539179"
"3.523713972272534e-12","27.22889388855827"
"3.541027333124046e-12","27.22908819172475"
"3.558425935568721e-12","27.22928249489123"
"3.575910198790096e-12","27.22947679805771"
"3.593480544029926e-12","27.22967110122418"
"3.611137394597097e-12","27.22986540439067"
"3.628881175879445e-12","27.23005970755714"
"3.646712315351578e-12","27.23025401072362"
"3.664631242587718e-12","27.2304483138901"
"3.682638389269545e-12","27.23064261705658"
"3.700734189198023e-12","27.23083692022306"
"3.718919078303729e-12","27.23103122338954"
"3.737193494656609e-12","27.23122552655602"
"3.755557878476178e-12","27.2314198297225"
"3.774012672144057e-12","27.23161413288897"
"3.79255832021156e-12","27.23180843605546"
"3.811195269412666e-12","27.23200273922193"
"3.829923968674355e-12","27.23219704238841"
"3.848744869125812e-12","27.23239134555489"
"3.867658424110685e-12","27.23258564872137"
"3.88666508919847e-12","27.23277995188785"
"3.905765322192963e-12","27.23297425505433"
"3.924959583145545e-12","27.23316855822081"
"3.944248334365284e-12","27.23336286138729"
"3.963632040430226e-12","27.23355716455377"
"3.983111168197489e-12","27.23375146772025"
"4.002686186815973e-12","27.23394577088672"
"4.022357567736601e-12","27.2341400740532"
"4.042125784724103e-12","27.23433437721968"
"4.061991313867404e-12","27.23452868038616"
"4.081954633592183e-12","27.23472298355264"
"4.102016224671325e-12","27.23491728671912"
"4.122176570237622e-12","27.2351115898856"
"4.142436155793974e-12","27.23530589305208"
"4.16279546922527e-12","27.23550019621856"
"4.183255000810637e-12","27.23569449938504"
"4.203815243235387e-12","27.23588880255151"
"4.224476691601497e-12","27.236083105718"
"4.245239843440605e-12","27.23627740888447"
"4.26610519872492e-12","27.23647171205095"
"4.287073259880383e-12","27.23666601521743"
"4.308144531797613e-12","27.23686031838391"
"4.329319521844582e-12","27.23705462155039"
"4.350598739878347e-12","27.23724892471687"
"4.371982698257778e-12","27.23744322788335"
"4.393471911854489e-12","27.23763753104983"
"4.415066898066936e-12","27.2378318342163"
"4.436768176831508e-12","27.23802613738279"
"4.458576270635438e-12","27.23822044054926"
"4.480491704528936e-12","27.23841474371574"
"4.502515006138281e-12","27.23860904688222"
"4.524646705677713e-12","27.2388033500487"
"4.546887335963009e-12","27.23899765321518"
"4.569237432423123e-12","27.23919195638166"
"4.591697533113566e-12","27.23938625954814"
