(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) X,(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) Y
2.411787807297532e-06,-0.3490630231447627
2.411807291586435e-06,-0.3490404623452621
2.411830968551924e-06,-0.3490169061016984
2.411865435261686e-06,-0.3489887996813493
2.411931508754811e-06,-0.3489506682632494
2.412014597170303e-06,-0.3489251214140461
2.412119492832445e-06,-0.3489216247397771
2.412247030047571e-06,-0.3489507397518541
2.412338390619317e-06,-0.348982347199329
2.412421096829401e-06,-0.3490130732824456
2.412529321465554e-06,-0.3490534541861343
2.412624646529436e-06,-0.3490882550740133
2.412720190019441e-06,-0.3491220619292843
2.412837403090681e-06,-0.3491619576259172
2.412989838910962e-06,-0.3492113094949908
2.413174779572599e-06,-0.3492674969949621
2.413388255157971e-06,-0.3493275908984363
2.413637839950921e-06,-0.3493918274175902
2.41393741687541e-06,-0.3494611114107604
2.414305332321561e-06,-0.349535792900773
2.414768239767166e-06,-0.3496156430310655
2.415340445012498e-06,-0.3496961652201286
2.415972210490263e-06,-0.3497660801171678
2.416673983958078e-06,-0.3498254164869502
2.417469810947198e-06,-0.3498750675937897
2.418401393353726e-06,-0.3499159808622546
2.419554171730937e-06,-0.3499491887359305
2.421147413204137e-06,-0.3499757831866479
2.423278360660299e-06,-0.3499926285989106
2.425623904758883e-06,-0.3499993224319873
2.427935958738837e-06,-0.3500009010657028
2.430520162837248e-06,-0.3500008891980129
2.433163337261982e-06,-0.3500005186890077
2.435998423601164e-06,-0.35000022102842
2.439310492741635e-06,-0.3500000551867947
2.443320430453479e-06,-0.3499999930971226
2.448208473297869e-06,-0.3499999852136114
2.454081095827794e-06,-0.3499999926599524
2.461217134778823e-06,-0.349999998411083
2.469895214546182e-06,-0.350000000201285
2.480432797752956e-06,-0.3500000002118329
2.493187513912258e-06,-0.3499999999998727
2.502156759418015e-06,-0.3499999999380843
2.511514501776406e-06,-0.3499999999258375
2.515235610731875e-06,-0.3499999999273593
2.518985752256028e-06,-0.3499999999287681
2.522213767943191e-06,-0.3499999999293638
2.524563686698192e-06,-0.3499999999294621
2.526382256941122e-06,-0.3499999999294073
2.527894257493679e-06,-0.3499999999292854
2.529198002085882e-06,-0.3499999999290923
2.530349750728979e-06,-0.3499999999288355
2.531387144606944e-06,-0.349999999928517
2.532336424448102e-06,-0.3499999999281368
2.533217240545806e-06,-0.3499999999276958
2.534045281291032e-06,-0.3499999999272039
2.534833550117487e-06,-0.3499999999266721
2.535593039212013e-06,-0.3499999999261094
2.53633307182596e-06,-0.3499999999255254
2.537061395729258e-06,-0.3499999999249214
2.537784060289261e-06,-0.3499999999242848
2.538505120674366e-06,-0.3499999999235887
2.539226282301124e-06,-0.349999999922783
2.539946705306893e-06,-0.3499999999217932
2.540663237081419e-06,-0.3499999999205253
2.541371191025541e-06,-0.3499999999188658
2.54206544970521e-06,-0.349999999916683
2.542741425181895e-06,-0.3499999999138214
2.543395526833747e-06,-0.3499999999100868
2.544025137795125e-06,-0.3499999999052258
2.544628339287005e-06,-0.3499999998988985
2.545203619068406e-06,-0.3499999998906494
2.545749677880689e-06,-0.3499999998798805
2.546265343778683e-06,-0.3499999998658381
2.546749559879006e-06,-0.3499999998476551
2.547201407500447e-06,-0.349999999824549
2.547620138224172e-06,-0.3499999997964279
2.548005201170402e-06,-0.3499999997655194
2.548356261781877e-06,-0.3499999997404744
2.548673216680888e-06,-0.3499999997463253
2.548956219709809e-06,-0.3499999998480721
2.549205753948737e-06,-0.3500000002057673
2.54942282095808e-06,-0.3500000011996974
2.549609355900373e-06,-0.3500000037259688
2.549768893629235e-06,-0.3500000096716017
2.549907065513536e-06,-0.3500000230770138
2.550031427726845e-06,-0.3500000511326683
2.550150502357248e-06,-0.3500001039264405
2.550273549326984e-06,-0.3500001954408649
2.550414404294003e-06,-0.3500003435001739
2.550603192434582e-06,-0.3500005897830917
2.550813715087309e-06,-0.3500009573470948
2.551010936505446e-06,-0.3500015717131461
2.551108793823316e-06,-0.3500022741515518
2.551206039783039e-06,-0.3500035959543636
2.551251903605046e-06,-0.3500050657116444
2.551298662194716e-06,-0.3500075208180837
2.551337815157472e-06,-0.350011045278883
2.551367767214338e-06,-0.3500144296345248
2.551396865557416e-06,-0.3500175779054323
2.551432881997552e-06,-0.3500212768302088
2.551489057351806e-06,-0.3500266811134035
2.551514925389422e-06,-0.3500282823134339
2.551533780202187e-06,-0.350002149504325
2.551547434276121e-06,-0.3498706013447714
2.551560116608465e-06,-0.3498109706139247
2.551571874559763e-06,-0.3498195064992894
2.551583396965332e-06,-0.3498443739005452
2.551594415078666e-06,-0.3498715270428066
2.551608762912348e-06,-0.3499048535539074
2.551630705708726e-06,-0.349948455397301
2.551648241509359e-06,-0.3499714175174499
2.551663951053647e-06,-0.3499817734167064
2.551680611293306e-06,-0.3499873631496859
2.551699644050597e-06,-0.3499908779506369
2.551723341997087e-06,-0.3499933592367396
2.551753808667641e-06,-0.3499949146548196
2.551792057703829e-06,-0.3499956870392583
2.551838909281061e-06,-0.3499959948147747
2.551896519869898e-06,-0.3499960904541904
2.551969611664573e-06,-0.3499960855226825
2.552066103452813e-06,-0.349996040213546
2.552171602025763e-06,-0.3499960704517909
2.552276452665085e-06,-0.3499962133502368
2.552395806102503e-06,-0.3499964040431196
2.552510684016803e-06,-0.3499965952798944
2.552618133441015e-06,-0.3499967673650294
2.552738868565966e-06,-0.3499969496206728
2.552890271475165e-06,-0.3499971632371118
2.553080897432696e-06,-0.3499974115677191
2.553305334403474e-06,-0.3499976768242938
2.553568440302982e-06,-0.349997953849176
2.553884815395161e-06,-0.3499982441037754
2.554272605795363e-06,-0.3499985451369837
2.554754925697471e-06,-0.3499988499111654
2.555364451932599e-06,-0.349999147722329
2.5561473024023e-06,-0.3499994236722012
2.557160776615797e-06,-0.3499996583469748
2.558458067439197e-06,-0.3499998326460673
2.559993785512921e-06,-0.3499999356024218
2.561524283889159e-06,-0.349999979558131
2.563372462902634e-06,-0.3499999988512019
2.565201781690235e-06,-0.3500000032295526
2.56687993685259e-06,-0.3500000029066618
2.568589277033704e-06,-0.3500000017876499
2.570595596015002e-06,-0.3500000007918666
2.573055326608313e-06,-0.3500000001749444
2.576053355622209e-06,-0.3499999999194606
2.579623601249669e-06,-0.3499999998742689
2.584020566898956e-06,-0.349999999897837
2.589483536715116e-06,-0.3499999999218107
2.596289223790833e-06,-0.3499999999307641
2.604710453357739e-06,-0.3499999999313012
2.615061744106623e-06,-0.3499999999303586
2.62769002476119e-06,-0.3499999999299799
2.642986883748012e-06,-0.3499999999299579
2.661404056953734e-06,-0.3499999999299823
2.683481128853575e-06,-0.349999999929989
2.709880488780673e-06,-0.3499999999299891
2.741467820097909e-06,-0.3499999999299888
2.779590790431911e-06,-0.3499999999299886
2.827344292963185e-06,-0.3499999999299886
2.870689834663967e-06,-0.3499999999299888
2.921777845886218e-06,-0.3499999999299889
2.96e-06,-0.3499999999299888
2.969049046716849e-06,-0.3499999999299886
2.977433468094251e-06,-0.3499999999299886
2.986861017137737e-06,-0.3499999999299888
3.005716115224708e-06,-0.3499999999299888
3.04342631139865e-06,-0.3499999999299888
3.118846703746534e-06,-0.3499999999299888
3.269687488442303e-06,-0.3499999999299888
3.571369057833841e-06,-0.3499999999299888
4.174732196616917e-06,-0.3499999999299888
5.381458474183069e-06,-0.3499999999299888
7.794911029315372e-06,-0.3499999999299888
1.262181613957998e-05,-0.3499999999299888
2.227562636010919e-05,-0.3499999999299888
4.158324680116762e-05,-0.3499999999299888
7.158324680116762e-05,-0.3499999999299888
9.896e-05,-0.3499999999299888
9.911068058932722e-05,-0.3499999999299888
9.922524208620921e-05,-0.3499999999299888
9.926474663648113e-05,-0.3499999999299888
9.930602071969481e-05,-0.3499999999299886
9.931425270979342e-05,-0.3499999999299889
9.932939476074453e-05,-0.3499999999299885
9.933879413284701e-05,-0.3499999999299885
9.934885341858981e-05,-0.3499999999299891
9.935074847436318e-05,-0.3499999999302051
9.935416739660284e-05,-0.3499999999301464
9.935652113539961e-05,-0.3499999999311442
9.935883793444218e-05,-0.3499999999333256
9.936090564760961e-05,-0.3499999999362857
9.93628025990594e-05,-0.3499999999358908
9.936472181779544e-05,-0.3499999999329402
9.936659809369142e-05,-0.3499999999344426
9.936819569279677e-05,-0.3499999999140905
9.936885534382081e-05,-0.3499999997013115
9.936952764869426e-05,-0.349999996997118
9.936983403497141e-05,-0.3499999858695428
9.937015118029602e-05,-0.3499999392870372
9.937041971403689e-05,-0.349999834044384
9.937064617285434e-05,-0.3499997673509866
9.937086154446079e-05,-0.350000259109748
9.937104660132559e-05,-0.3500044179234822
9.937113540568429e-05,-0.3500130042002243
9.937122343331968e-05,-0.3500247551107282
9.937126809974265e-05,-0.3500334987828316
9.937131411814501e-05,-0.3500488713451415
9.937135057208041e-05,-0.3500692448215014
9.937137857643919e-05,-0.3500826841195406
9.937140972641071e-05,-0.3500461191099091
9.937143837428683e-05,-0.3499631537209048
9.937146848773738e-05,-0.3499695691226917
9.937149031211764e-05,-0.3499738474326191
9.937151676176311e-05,-0.3499738684064061
9.937155040686092e-05,-0.3499742554175381
9.937156743935494e-05,-0.3499768095449023
9.937158484078175e-05,-0.3499829438850394
9.937159915471785e-05,-0.3499891794905502
9.937161295197198e-05,-0.3499938128373353
9.937163491092724e-05,-0.3499977354299789
9.937165273590078e-05,-0.3499988363178914
9.937166824436377e-05,-0.3499993452071302
9.937168535396238e-05,-0.3499998985983523
9.937170560511068e-05,-0.3500004648446429
9.937173138936505e-05,-0.3500009869127684
9.937176444678374e-05,-0.3500014293582367
9.937180515073926e-05,-0.3500017751321746
9.93718539237795e-05,-0.3500020413986298
9.937191297798776e-05,-0.350002263530144
9.937198696355717e-05,-0.3500024819859178
9.937208528345574e-05,-0.3500027712494334
9.937218008377646e-05,-0.3500030676845561
9.937227695657556e-05,-0.3500032002250868
9.937235905629396e-05,-0.3500031247892758
9.937245143668149e-05,-0.350003025590383
9.937257124985246e-05,-0.3500029020027045
9.937266490315568e-05,-0.350002798868922
9.937276649516906e-05,-0.3500026893394468
9.937289534051945e-05,-0.3500025583175836
9.937306322967804e-05,-0.3500023975838502
9.937326226149927e-05,-0.3500022193403457
9.937349111679404e-05,-0.3500020302010499
9.937376102279782e-05,-0.3500018274742044
9.937408813827637e-05,-0.3500016084885844
9.937449420331484e-05,-0.3500013724427795
9.937501149773627e-05,-0.350001120540138
9.937568855962784e-05,-0.3500008579251449
9.937658610537286e-05,-0.3500005993948478
9.937774323280051e-05,-0.3500003731592533
9.937914912522288e-05,-0.3500002046837675
9.93807984156394e-05,-0.3500000961933366
9.938273574932745e-05,-0.3500000349335259
9.938502561632053e-05,-0.3500000061564686
9.938767913709703e-05,-0.3499999967214434
9.939067647363059e-05,-0.3499999959954057
9.939354607542604e-05,-0.3499999975293008
9.939655396428549e-05,-0.3499999988693413
9.940012449840775e-05,-0.3499999996605319
9.940454060703974e-05,-0.3499999999666309
9.940992570624691e-05,-0.3500000000026541
