"db(v("/Vb5" ?result "ac")) X","db(v("/Vb5" ?result "ac")) Y","phaseDegUnwrapped(v("/Vb5" ?result "ac")) X","phaseDegUnwrapped(v("/Vb5" ?result "ac")) Y"
"0.005128613839913635","-1.262381745244291","0.005128613839913635","-179.9990310743164"
"0.005248074602497712","-1.262381745873516","0.005248074602497712","-179.9990533206115"
"0.005370317963702512","-1.262381746537469","0.005370317963702512","-179.9990750649469"
"0.00549540873857623","-1.262381747237548","0.00549540873857623","-179.9990963188503"
"0.005623413251903474","-1.26238174797522","0.005623413251903474","-179.9991170935896"
"0.005754399373371553","-1.262381748752024","0.005754399373371553","-179.9991374001783"
"0.005888436553555873","-1.262381749569598","0.005888436553555873","-179.9991572493816"
"0.00602559586074356","-1.26238175042964","0.00602559586074356","-179.9991766517223"
"0.006165950018614803","-1.262381751333955","0.006165950018614803","-179.9991956174859"
"0.006309573444801914","-1.262381752284434","0.006309573444801914","-179.9992141567263"
