phaseDegUnwrapped(v("/Vout+" ?result "ac")) X,phaseDegUnwrapped(v("/Vout+" ?result "ac")) Y
0.01995262314968869,-3.268935309160693e-05
0.02041737944669519,-3.345075053818345e-05
0.02089296130854029,-3.423000554012272e-05
0.02137962089502221,-3.502722991683256e-05
0.02187761623949541,-3.584317665208673e-05
0.02238721138568328,-3.667843382474061e-05
0.02290867652767761,-3.753241933265439e-05
0.0234422881531991,-3.84065563900537e-05
0.02398832919019478,-3.930126191257693e-05
0.02454708915685017,-4.021676910939487e-05
0.02511886431509567,-4.115351744459359e-05
0.0257039578276885,-4.211215862168011e-05
0.02630267991895368,-4.309299116234613e-05
0.02691534803926901,-4.409645048754397e-05
0.02754228703338151,-4.51240738315024e-05
0.02818382931264438,-4.617535090787402e-05
0.0288403150312659,-4.725050428820068e-05
0.02951209226666369,-4.835111733637914e-05
0.03019951720401999,-4.947779769709334e-05
