I0.phi_h X,I0.phi_h Y
9.922524208620921e-05,1.843653711210348e-08
9.92825228346502e-05,1.843653714507848e-08
9.932525534127727e-05,1.843653712214559e-08
9.936123355715132e-05,1.84365371114112e-08
9.938330389344558e-05,1.843653714687295e-08
9.940529778798508e-05,1.84365371462473e-08
9.941286819750059e-05,1.843653712825149e-08
9.942113614967374e-05,1.843653783356618e-08
9.942274989037824e-05,1.843655390464273e-08
9.942553503031105e-05,1.843656532911544e-08
9.94285510498188e-05,1.843673522010859e-08
9.94306862857346e-05,1.843837979528262e-08
9.943253500805273e-05,1.844410225420529e-08
9.943419935013775e-05,1.844836712121408e-08
9.943588524878998e-05,1.843741391381946e-08
9.943728572978089e-05,1.846122022839234e-08
9.943841628399891e-05,1.859006600736021e-08
9.943895406450023e-05,1.913750269053756e-08
9.943949401152924e-05,1.974666326219161e-08
9.943974371247953e-05,2.465650898608925e-08
9.943999846220972e-05,2.49347087542538e-08
9.944021752141724e-05,1.265533421770097e-08
9.944041687077185e-05,-9.067295890271924e-08
9.944057870998931e-05,-5.039355672513451e-07
9.944075632408909e-05,-1.399247151524419e-06
9.944089450944995e-05,-2.295906934189555e-06
9.944102063417258e-05,-3.628431916322539e-06
9.944113517540136e-05,-8.136480037075163e-06
9.944118661198635e-05,-1.809428311583508e-05
9.944123924075017e-05,-3.863789074772142e-05
9.944128148669684e-05,-7.825517718248251e-05
9.944131294932493e-05,-0.0001583888713893811
9.944134281093734e-05,-0.000286265238929022
9.944135916653509e-05,-0.0003255057939090619
9.944137415535664e-05,-0.0003413677310947804
9.944139962736856e-05,-0.000346357988622988
9.94414237809743e-05,-0.0003507815941115079
9.94414470705099e-05,-0.0003594938208308139
9.944148618757573e-05,-0.0003751503104835482
9.944150926350895e-05,-0.0003747441782851662
9.944152889603467e-05,-0.0003471915274113112
9.944154272834359e-05,-0.0002795162728416598
9.944155674252644e-05,-0.0001504311768848586
9.944156906578176e-05,-1.427701189633233e-05
9.944158137111879e-05,9.906350037092629e-05
9.944159178969464e-05,0.0001665347021562894
9.944160616816908e-05,0.0002163686386933303
9.944162161990655e-05,0.0002309767290966655
9.944163721053233e-05,0.0002237479164557605
9.944165423485252e-05,0.0002082331657770229
9.944167308799558e-05,0.0001922175616253814
9.944169655016622e-05,0.0001782662612519635
9.944172584812062e-05,0.0001673587002771345
9.944176263872408e-05,0.0001575526245731925
