phaseDegUnwrapped((v("/net8" ?result "ac") - v("/net7" ?result "ac"))) X,phaseDegUnwrapped((v("/net8" ?result "ac") - v("/net7" ?result "ac"))) Y
0.02951209226666369,-6.932914008505169
0.03019951720401999,-7.092775974097605
0.03090295432513573,-7.256246757447459
0.03162277660168361,-7.423402381631002
0.03235936569296264,-7.594320087666931
0.03311311214825892,-7.76907832383119
0.03388441561392006,-7.947756735881843
0.03467368504525296,-8.130436152898589
0.03548133892335734,-8.317198569852362
0.03630780547700992,-8.508127126938392
0.03715352290971704,-8.703306088166654
0.0380189396320559,-8.902820809951342
0.03890451449942783,-9.106757714730021
0.03981071705534948,-9.315204252189154
0.04073802778041102,-9.528248860374971
0.04168693834703328,-9.745980922889432
0.042657951880159,-9.968490716638128
0.04365158322401633,-10.19586936005788
0.04466835921509604,-10.42820874927095
0.04570881896148722,-10.66560149499652
0.04677351412871953,-10.90814084740109
0.04786300923226354,-11.15592061896568
0.04897788193684432,-11.40903509652242
