I0.phi_s X,I0.phi_s Y
9.360579115694064e-06,1.799999982198842
1.575591156521659e-05,1.799999982198842
2.854657646426165e-05,1.799999982198842
5.412790626235178e-05,1.799999982198842
9.896e-05,1.799999982198842
9.911068058932722e-05,1.799999982198832
9.922524208620921e-05,1.799999982189361
9.92825228346502e-05,1.799999982072987
9.932525534127727e-05,1.799999982011278
9.936123355715132e-05,1.799999981998027
9.938330389344558e-05,1.799999981822381
9.940529778798508e-05,1.799999981937403
9.941286819750059e-05,1.799999982413266
9.942113614967374e-05,1.799999995075967
9.942274989037824e-05,1.800000007788442
9.942553503031105e-05,1.800000108659417
9.94285510498188e-05,1.800000664968018
9.94306862857346e-05,1.800003482486087
9.943253500805273e-05,1.800013848023797
9.943419935013775e-05,1.800038336181563
9.943588524878998e-05,1.800084086791168
9.943728572978089e-05,1.800154460762156
9.943841628399891e-05,1.800276159699784
9.943895406450023e-05,1.800415980893298
9.943949401152924e-05,1.800687001261606
9.943974371247953e-05,1.800970293366795
9.943999846220972e-05,1.801430752319338
9.944021752141724e-05,1.801834389398251
9.944041687077185e-05,1.801068930123189
9.944057870998931e-05,1.796282382261309
9.944075632408909e-05,1.778726777643018
9.944089450944995e-05,1.750513643213475
9.944102063417258e-05,1.707830057709486
9.944113517540136e-05,1.643991472194944
9.944118661198635e-05,1.600968375889367
9.944123924075017e-05,1.537757397666405
9.944128148669684e-05,1.462551824724228
9.944131294932493e-05,1.386928662491062
9.944134281093734e-05,1.295470812761803
9.944135916653509e-05,1.235767845059981
9.944137415535664e-05,1.17611514982658
9.944139962736856e-05,1.066581372374913
9.94414237809743e-05,0.9539563204186228
9.94414470705099e-05,0.8373635128121668
9.944148618757573e-05,0.6249361858269492
9.944150926350895e-05,0.4916560782397534
9.944152889603467e-05,0.3772567583053404
9.944154272834359e-05,0.300670214648272
9.944155674252644e-05,0.232654346154692
9.944156906578176e-05,0.1838724477400136
9.944158137111879e-05,0.1458450808775141
9.944159178969464e-05,0.1210316747606687
9.944160616816908e-05,0.09532202167962923
9.944162161990655e-05,0.07557508207293254
9.944163721053233e-05,0.06116398200984077
9.944165423485252e-05,0.04946528804693334
9.944167308799558e-05,0.03966799066037287
9.944169655016622e-05,0.030496561029973
9.944172584812062e-05,0.02221323848118192
9.944176263872408e-05,0.01514908712324449
9.944180768939242e-05,0.009792586490953981
9.944186182252549e-05,0.006222958330014062
9.944192537353759e-05,0.004081713862243156
9.944200027677187e-05,0.00279915706774223
9.94420773576117e-05,0.002042757608500929
9.944214776913554e-05,0.001568303153245085
9.94422500235906e-05,0.00111941538583616
9.94423463690079e-05,0.0009419252627124327
9.944242299631616e-05,0.001003777954144248
9.944247862812216e-05,0.00127059987075626
9.944251771256893e-05,0.001680439315482657
9.944254847126079e-05,0.002131132614198943
9.944257715879102e-05,0.002576397639056834
9.944260440498007e-05,0.002924472141364554
9.944262854739312e-05,0.003145425936493456
9.944265678230474e-05,0.0033631920488843
9.944268245223138e-05,0.00353986855330054
9.94427163438892e-05,0.003723097863994073
9.944275383949631e-05,0.003746625530219502
9.944276807902944e-05,0.003581794829021776
9.94427815217156e-05,0.003245519989539705
9.944279506569995e-05,0.002755934970541941
9.944280880491471e-05,0.002220161828879069
9.944281933914967e-05,0.00185280346633757
9.944283017363245e-05,0.001544506708158405
9.944284558611224e-05,0.001220161238570411
9.944286211926336e-05,0.0009861785013548223
9.944288017058961e-05,0.0008187543499731159
9.944289997490217e-05,0.0006966829632447433
9.944292291051025e-05,0.0005982806625044077
9.944295135248979e-05,0.0005090050603203389
9.944298839730165e-05,0.0004214587697957429
9.944303389539897e-05,0.0003407501935036776
9.944308764549225e-05,0.0002729123736135266
9.944314760787735e-05,0.0002263542226096618
9.944321156234404e-05,0.0002007119602411615
9.944328261485591e-05,0.0001858470108992815
9.944336932101563e-05,0.000173171911882674
9.944345412933562e-05,0.0001608555491504562
9.944357279158463e-05,0.0001426342793447177
9.944367963844888e-05,0.0001281570174968438
9.944377091571048e-05,0.0001182158344954238
9.944387237713272e-05,0.0001089634049843838
9.944400030203851e-05,9.852697718511082e-05
9.944416663542779e-05,8.657861296627189e-05
9.944436734132993e-05,7.432267780827847e-05
9.944459657657135e-05,6.257901966309426e-05
9.944486265044369e-05,5.107005154079953e-05
9.944517921442606e-05,3.946100022512713e-05
9.94455608698765e-05,2.770417210146088e-05
9.944602534422787e-05,1.612248933425122e-05
9.944659902507043e-05,5.665315434280627e-06
9.944732206316982e-05,-1.92676788323638e-06
9.944824711937366e-05,-5.1170406677248e-06
9.944930797382329e-05,-4.577592727508268e-06
9.945049171223151e-05,-3.123845911685357e-06
9.945154771109818e-05,-2.107966120330371e-06
9.945259398069241e-05,-1.426104295594521e-06
9.945370966397672e-05,-9.380822473998792e-07
9.945484984798195e-05,-6.063000557664535e-07
9.945607897680104e-05,-3.779855654237737e-07
9.945745403670661e-05,-2.211313177320898e-07
9.945904040681724e-05,-1.167015069930142e-07
9.946093010332408e-05,-4.956101262297755e-08
9.946325215656149e-05,-9.059470699098629e-09
9.946619854610381e-05,1.261806092854123e-08
9.946990531078557e-05,2.110607860681161e-08
9.947441764713639e-05,2.195547288694586e-08
9.947991616943212e-05,1.984045697317917e-08
9.94866565380603e-05,1.748050010363759e-08
9.949491302482662e-05,1.59746564328458e-08
9.95049739216639e-05,1.534190344625914e-08
9.951717636062644e-05,1.519714592175502e-08
9.953192847362437e-05,1.522122429437158e-08
9.954972925637293e-05,1.52721457222568e-08
9.957123050143247e-05,1.531530933517475e-08
9.959743163952802e-05,1.535108728964303e-08
9.962975085808158e-05,1.53796625134778e-08
9.966832390211442e-05,1.538910848049158e-08
9.970870329793744e-05,1.53774890171224e-08
9.97441087167557e-05,1.538735002219746e-08
9.97812042782892e-05,1.541375056091004e-08
9.983490814083347e-05,1.542619370879413e-08
9.992000000000001e-05,1.542705559903272e-08
9.993003114947849e-05,1.542499201953761e-08
9.993999310253146e-05,1.542642153285079e-08
9.995487862062011e-05,1.542131901591661e-08
9.998464965679739e-05,1.541705988675019e-08
0.000100044191729152,1.54032023036696e-08
0.0001001632758738611,1.536848775185572e-08
0.0001004014441632794,1.529143269809448e-08
0.0001008777807421159,1.516626053854674e-08
0.0001014388903710579,1.508616293888509e-08
0.000102,1.505925755032915e-08
0.0001020012332824644,1.505978091415681e-08
0.0001020021148662866,1.505949849467665e-08
0.000102003878033931,1.505937188668832e-08
0.0001020060028302573,1.505919444258426e-08
0.0001020102524229099,1.505920254631477e-08
0.0001020187516082151,1.505922652998764e-08
0.0001020357499788255,1.505925995801332e-08
0.0001020697467200463,1.505936457633288e-08
0.0001021377402024879,1.505977001569676e-08
0.0001021590252487319,1.505994542638188e-08
0.0001021898902232602,1.506023344401062e-08
0.0001022030111710781,1.506036700855915e-08
0.0001022162191284722,1.50605078537983e-08
0.0001022284602331306,1.506064355608365e-08
0.0001022383234996654,1.506075616205819e-08
0.0001022468062104685,1.506085560828997e-08
0.0001022546341355193,1.506094919844833e-08
0.0001022621148738665,1.50610399997475e-08
0.000102269424856605,1.506113054773846e-08
0.000102276707412725,1.506122213359071e-08
0.0001022840908413911,1.506131611145687e-08
0.0001022916956711142,1.506141445199972e-08
0.0001022996411159017,1.506151876321415e-08
0.0001023080459699196,1.506163065902958e-08
0.0001023170182239301,1.506175185960771e-08
0.0001023266259685611,1.50618834588971e-08
0.0001023368456347831,1.506202543879854e-08
0.000102347510422443,1.506217600748671e-08
0.000102358323636126,1.506233072853112e-08
0.0001023689683844786,1.506248506849526e-08
0.0001023792219874863,1.506263565575399e-08
0.0001023889773494456,1.506278052697344e-08
0.000102398196707112,1.5062918781646e-08
0.0001024068657763262,1.506305014211241e-08
0.0001024149725753078,1.506317399859587e-08
0.0001024225029281783,1.506329023466941e-08
0.0001024294420231791,1.506339890117029e-08
0.0001024357771585473,1.506350026289332e-08
0.0001024415002656402,1.506359631089293e-08
0.0001024466099182089,1.506369225887988e-08
0.0001024511128681824,1.506380123623403e-08
0.000102455025278147,1.506395999569748e-08
0.0001024583738586855,1.506427296813611e-08
0.0001024611970504089,1.506506651769962e-08
0.000102463542789012,1.506737768447059e-08
0.0001024654840286086,1.507466823815717e-08
0.0001024670872804066,1.509752050016295e-08
0.0001024684326183627,1.516185576609139e-08
0.0001024690894728678,1.529266111032203e-08
0.0001024697190511942,1.540243414327469e-08
0.0001024702701541851,1.55684438305008e-08
0.000102470730599149,1.578163321836102e-08
0.0001024711374036588,1.600360258924997e-08
0.0001024715112971405,1.623618666207931e-08
0.0001024718634834914,1.648566345827871e-08
0.0001024722014494222,1.674271863824599e-08
0.0001024725306975144,1.699832710402512e-08
0.0001024728556527211,1.724297725947494e-08
0.0001024731800087347,1.74662612704274e-08
0.0001024735068517316,1.765786814580811e-08
0.0001024738386680236,1.780998996952919e-08
0.0001024741772275779,1.792201722646814e-08
0.00010247452335413,1.800786835391442e-08
0.0001024748766478173,1.810445832828181e-08
0.0001024752353065469,1.827647745541418e-08
0.000102475596237035,1.861082763369667e-08
0.0001024759555479894,1.919946416544382e-08
0.0001024763092700668,2.012157131827096e-08
0.0001024766539673914,2.1441386652723e-08
0.0001024769870021362,2.322641760393913e-08
0.000102477306474005,2.557555647386305e-08
0.0001024776110128197,2.86462170786057e-08
0.0001024778995803235,3.268032979879159e-08
0.000102478171345757,3.803672437702811e-08
0.0001024784256350935,4.523794476739345e-08
0.0001024786619330211,5.504203106887393e-08
0.0001024788799198144,6.853708231567868e-08
0.0001024790795328868,8.725978915636648e-08
0.0001024792610436382,1.133045829446913e-07
0.0001024794251295234,1.493573041761617e-07
0.0001024795729120431,1.984693396793186e-07
0.0001024797059690866,2.629538878128065e-07
0.0001024798264394856,3.408901634186376e-07
0.0001024799373931543,4.190084000201696e-07
0.0001024800435032763,4.640095551814212e-07
0.0001024801521743524,4.050720452610696e-07
0.0001024802774699291,3.561039096764485e-09
0.0001024804807252188,-3.20053619114094e-06
0.0001024806596062313,-1.553012069759613e-05
0.000102480809223032,-3.786492212165245e-05
0.0001024809348291306,-6.353564871896641e-05
0.0001024810590599869,-0.0001030674609347689
0.0001024811230883369,-0.0001439316281248263
0.0001024811880428723,-0.0002231312378232244
0.0001024812204891056,-0.0003016736545649276
0.0001024812528068008,-0.0004232052583344378
0.0001024812812373526,-0.00057247845019797
0.0001024813065568219,-0.0007179418511975167
0.0001024813402036669,-0.0008976502745791633
0.0001024813779433958,-0.001078356194820027
0.0001024814181438938,-0.001269132530668389
0.0001024814339881372,-0.00141144145479321
0.0001024814512409177,-0.001703504210791096
0.0001024814668715037,-0.002150976614764619
0.0001024814823353136,-0.002818820221964774
0.0001024814925951029,-0.003347572642106553
0.0001024815030881532,-0.003844854310359164
0.0001024815113022416,-0.0041179347148227
0.0001024815184958173,-0.004231726628953882
0.0001024815270536401,-0.004204144514149326
0.0001024815392188035,-0.003931316022044304
0.0001024815480996308,-0.003625556555306671
0.0001024815562727842,-0.003314331358862913
0.0001024815652401192,-0.002963132881384444
0.0001024815767896713,-0.002535493351498964
0.000102481592561705,-0.002051502210373241
0.0001024816122103778,-0.001573421005283592
0.0001024816329409303,-0.001187448767650368
0.0001024816562669827,-0.0008632968523159183
0.0001024816799883317,-0.0006222671188828848
0.0001024817039544818,-0.0004447561734882164
0.0001024817322715087,-0.0002949106430372502
0.0001024817545601336,-0.0002110846276684501
0.0001024817793739048,-0.0001429454453299236
0.0001024818062826653,-9.068826535956287e-05
0.0001024818322509212,-5.591545948126262e-05
0.0001024818585961568,-3.194216369687423e-05
0.000102481885932005,-1.549257911351328e-05
0.0001024819143905093,-4.497610505412209e-06
0.000102481944052504,2.679550530218035e-06
0.0001024819749127895,7.286872327493581e-06
0.0001024820068863783,1.028022070367577e-05
0.0001024820396985369,1.227867359335883e-05
0.0001024820729423923,1.387956112305468e-05
0.0001024821061414601,1.553733189137562e-05
0.0001024821388713922,1.75040847478207e-05
0.0001024821708012498,1.989523581579453e-05
0.0001024822016968172,2.27879111815329e-05
0.0001024822314027132,2.627810404794876e-05
0.0001024822598133238,3.104579256914897e-05
0.0001024822868183764,3.61363748818583e-05
0.0001024823124498628,4.218347295208326e-05
0.0001024823365457883,4.96393182512805e-05
0.000102482359093544,5.879482135433891e-05
0.0001024823800869748,7.000796701100908e-05
0.0001024823995307404,8.37119369618187e-05
0.0001024824174810448,0.0001004034909498283
0.0001024824340482698,0.0001206194025079545
0.000102482449392921,0.0001449006335765283
0.0001024824637248944,0.0001736797642476578
0.0001024824773466187,0.0002070677772997764
0.0001024824907735211,0.0002448172284747726
0.0001024825049252873,0.0002867202741365478
0.0001024825216009073,0.0003331753695826522
0.000102482546745957,0.0003875346189482173
0.0001024825777005148,0.0004242198053549795
0.0001024826035252385,0.000431561032692918
0.0001024826296114896,0.0004220357991341904
0.0001024826572103363,0.0003965961101594353
0.0001024826848930908,0.0003525152054790366
0.0001024827102261374,0.0002661822765326184
0.0001024827217335483,0.0001584089159141366
0.0001024827335840831,-7.253804145728191e-05
0.0001024827435651619,-0.0003853275817095678
0.0001024827549023325,-0.0008121562818307682
0.0001024827682140365,-0.001220386923276221
0.0001024827798669004,-0.001375636886346325
0.0001024827927049233,-0.001309870810472841
0.0001024828082491235,-0.001024620230038874
0.0001024828274814832,-0.0006153559213075645
0.0001024828517784363,-0.0002420766853340087
0.0001024828795073871,-4.507927518918848e-05
0.0001024829080524682,5.432141102736549e-06
0.0001024829422377003,3.87093077921903e-06
0.00010248298568169,-7.57508533333127e-06
0.0001024830387912506,-1.113339583566463e-05
0.0001024831024701516,-8.990300533286175e-06
0.0001024831714920056,-5.549277695357261e-06
0.0001024832420038102,-3.490697455225233e-06
0.0001024833212069958,-2.840910322232597e-06
0.0001024834025573315,-2.819437993669667e-06
0.0001024834898299751,-2.880039469468291e-06
0.0001024835838821431,-2.672597830513222e-06
0.0001024836784225261,-2.267927770602807e-06
0.0001024837712808983,-1.915321435871923e-06
0.0001024838774820876,-1.634291389735724e-06
0.0001024840104587267,-1.373609710956445e-06
0.0001024841769064173,-1.09604449328567e-06
0.000102484375101672,-8.281016447154934e-07
